InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
566018,85185B,PINK HORSE SOCK PUPPET,1,02-06-2022 12.42,2.95,13137
566018,23236,STORAGE TIN VINTAGE DOILY ,2,02-06-2022 12.42,2.89,13137
566018,84997B,CHILDRENS CUTLERY RETROSPOT RED ,1,02-06-2022 12.42,4.15,13137
566018,84997C,CHILDRENS CUTLERY POLKADOT BLUE,1,02-06-2022 12.42,4.15,13137
566018,22297,HEART IVORY TRELLIS SMALL,12,02-06-2022 12.42,1.25,13137
566018,21671,RED SPOT CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,21669,BLUE STRIPE CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,21668,RED STRIPE CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,21670,BLUE SPOT CERAMIC DRAWER KNOB,2,02-06-2022 12.42,1.45,13137
566018,23035,DRAWER KNOB CERAMIC IVORY,2,02-06-2022 12.42,1.45,13137
566018,23321,SMALL WHITE HEART OF WICKER,13,02-06-2022 12.42,1.65,13137
566018,23322,LARGE WHITE HEART OF WICKER,3,02-06-2022 12.42,2.95,13137
566018,22694,WICKER STAR ,2,02-06-2022 12.42,2.1,13137
566018,23323,WHITE WICKER STAR ,3,02-06-2022 12.42,2.1,13137
566018,23332,IVORY WICKER HEART LARGE,5,02-06-2022 12.42,1.65,13137
566018,23329,DECORATIVE WICKER HEART LARGE,5,02-06-2022 12.42,1.65,13137
566018,35961,FOLKART ZINC HEART CHRISTMAS DEC,10,02-06-2022 12.42,0.85,13137
566018,22600,CHRISTMAS RETROSPOT STAR WOOD,10,02-06-2022 12.42,0.85,13137
566018,22602,RETROSPOT WOODEN HEART DECORATION,10,02-06-2022 12.42,0.85,13137
566018,23281,FOLDING BUTTERFLY MIRROR RED  ,2,02-06-2022 12.42,0.83,13137
566018,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,2,02-06-2022 12.42,0.83,13137
566018,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,1,02-06-2022 12.42,0.85,13137
566018,22595,GINGHAM HEART DECORATION,1,02-06-2022 12.42,0.85,13137
566018,84997D,CHILDRENS CUTLERY POLKADOT PINK,2,02-06-2022 12.42,4.15,13137
566018,23236,STORAGE TIN VINTAGE DOILY ,2,02-06-2022 12.42,2.89,13137
566018,23241,TREASURE TIN GYMKHANA DESIGN,3,02-06-2022 12.42,2.08,13137
566018,22595,GINGHAM HEART DECORATION,4,02-06-2022 12.42,0.85,13137
566018,22348,TEA BAG PLATE RED RETROSPOT,4,02-06-2022 12.42,0.85,13137
566018,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,5,02-06-2022 12.42,0.85,13137
566018,22296,HEART IVORY TRELLIS LARGE,12,02-06-2022 12.42,1.65,13137
566018,22294,HEART FILIGREE DOVE  SMALL,4,02-06-2022 12.42,1.25,13137
566018,22295,HEART FILIGREE DOVE LARGE,4,02-06-2022 12.42,1.65,13137
566018,21770,OPEN CLOSED METAL SIGN,2,02-06-2022 12.42,4.95,13137
566018,21533,RETROSPOT LARGE MILK JUG,2,02-06-2022 12.42,4.95,13137
566018,21535,RED RETROSPOT SMALL MILK JUG,2,02-06-2022 12.42,2.55,13137
566018,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,4,02-06-2022 12.42,2.1,13137
566018,22966,GINGERBREAD MAN COOKIE CUTTER,4,02-06-2022 12.42,1.25,13137
566018,22329,ROUND CONTAINER SET OF 5 RETROSPOT,3,02-06-2022 12.42,1.65,13137
566018,21992,VINTAGE PAISLEY STATIONERY SET,4,02-06-2022 12.42,1.25,13137
566018,21990,MODERN FLORAL STATIONERY SET,4,02-06-2022 12.42,1.25,13137
566018,21993,FLORAL FOLK STATIONERY SET,4,02-06-2022 12.42,1.25,13137
566018,22911,PAPER CHAIN KIT LONDON,2,02-06-2022 12.42,2.95,13137
566018,23350,ROLL WRAP VINTAGE SPOT ,3,02-06-2022 12.42,1.25,13137
566018,22726,ALARM CLOCK BAKELIKE GREEN,2,02-06-2022 12.42,3.75,13137
566018,22727,ALARM CLOCK BAKELIKE RED ,4,02-06-2022 12.42,3.75,13137
566018,22728,ALARM CLOCK BAKELIKE PINK,3,02-06-2022 12.42,3.75,13137
566018,48187,DOORMAT NEW ENGLAND,1,02-06-2022 12.42,8.25,13137
566018,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,02-06-2022 12.42,0.29,13137
566018,85014B,RED RETROSPOT UMBRELLA,2,02-06-2022 12.42,5.95,13137
566018,85014A,BLACK/BLUE POLKADOT UMBRELLA,2,02-06-2022 12.42,5.95,13137
566018,20727,LUNCH BAG  BLACK SKULL.,4,02-06-2022 12.42,1.65,13137
566018,23208,LUNCH BAG VINTAGE LEAF DESIGN,4,02-06-2022 12.42,1.65,13137
566018,23209,LUNCH BAG VINTAGE DOILY ,4,02-06-2022 12.42,1.65,13137
566018,20725,LUNCH BAG RED RETROSPOT,5,02-06-2022 12.42,1.65,13137
566018,23200,JUMBO BAG PEARS,4,02-06-2022 12.42,2.08,13137
566018,23199,JUMBO BAG APPLES,4,02-06-2022 12.42,2.08,13137
566018,23203,JUMBO BAG VINTAGE DOILY ,4,02-06-2022 12.42,2.08,13137
566018,21930,JUMBO STORAGE BAG SKULLS,3,02-06-2022 12.42,2.08,13137
566018,22386,JUMBO BAG PINK POLKADOT,2,02-06-2022 12.42,2.08,13137
566018,85099B,JUMBO BAG RED RETROSPOT,2,02-06-2022 12.42,2.08,13137
566018,22377,BOTTLE BAG RETROSPOT ,7,02-06-2022 12.42,2.1,13137
566018,22381,TOY TIDY PINK POLKADOT,3,02-06-2022 12.42,2.1,13137
566085,20983,12 PENCILS TALL TUBE RED RETROSPOT,10,02-06-2022 10.12,0.85,17841
566085,20982,12 PENCILS TALL TUBE SKULLS,10,02-06-2022 10.12,0.85,17841
566085,21927,BLUE/CREAM STRIPE CUSHION COVER ,6,02-06-2022 10.12,1.25,17841
566085,21926,RED/CREAM STRIPE CUSHION COVER ,3,02-06-2022 10.12,1.25,17841
566085,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,02-06-2022 10.12,2.95,17841
