ride_id,start_time,end_time,start_station_id,end_station_id,bike_id,user_type
ride-054,2026-03-06T19:39:00Z,2026-03-06T19:54:00Z,station-11,station-1,bike-006,casual
ride-055,2026-03-05T19:03:00Z,2026-03-05T19:30:00Z,station-6,station-13,bike-057,member
ride-056,2026-03-25T18:53:00Z,2026-03-25T19:23:00Z,station-6,station-4,bike-042,member
ride-057,2026-03-21T07:15:00Z,2026-03-21T07:23:00Z,station-8,station-11,bike-008,member
ride-058,2026-03-07T19:49:00Z,2026-03-07T21:08:00Z,station-12,station-2,bike-050,casual
ride-059,2026-03-10T08:59:00Z,2026-03-10T09:26:00Z,station-2,station-10,bike-045,casual
ride-060,2026-03-08T08:54:00Z,2026-03-08T09:12:00Z,station-6,station-9,bike-028,casual
ride-061,2026-03-03T20:00:00Z,2026-03-03T21:13:00Z,station-11,station-14,bike-030,casual
ride-062,2026-03-14T09:39:00Z,2026-03-14T10:23:00Z,station-10,station-5,bike-021,casual
ride-063,2026-03-27T08:56:00Z,2026-03-27T09:18:00Z,station-11,station-7,bike-022,member
ride-064,2026-03-28T17:31:00Z,2026-03-28T17:39:00Z,station-10,station-12,bike-057,member
ride-065,2026-03-01T20:05:00Z,2026-03-01T20:33:00Z,station-12,station-8,bike-042,casual
ride-066,2026-03-15T07:18:00Z,2026-03-15T07:26:00Z,station-10,station-6,bike-031,member
ride-067,2026-03-12T18:22:00Z,2026-03-12T18:34:00Z,station-12,station-4,bike-021,member
ride-068,2026-03-18T09:13:00Z,2026-03-18T10:31:00Z,station-9,station-10,bike-019,casual
ride-069,2026-03-27T12:14:00Z,2026-03-27T12:34:00Z,station-3,station-5,bike-003,casual
ride-070,2026-03-18T13:40:00Z,2026-03-18T13:58:00Z,station-8,station-8,bike-029,member
ride-071,2026-03-02T14:07:00Z,2026-03-02T14:34:00Z,station-11,station-1,bike-010,member
ride-072,2026-03-19T13:15:00Z,2026-03-19T13:43:00Z,station-4,station-13,bike-034,member
ride-073,2026-03-15T14:19:00Z,2026-03-15T14:35:00Z,station-13,station-4,bike-041,member
ride-074,2026-03-22T08:15:00Z,2026-03-22T08:22:00Z,station-12,station-10,bike-031,member
ride-075,2026-03-08T13:44:00Z,2026-03-08T14:35:00Z,station-13,station-13,bike-041,member
ride-076,2026-03-26T13:07:00Z,2026-03-26T13:57:00Z,station-14,station-3,bike-005,member
ride-077,2026-03-26T13:28:00Z,2026-03-26T13:57:00Z,station-5,station-9,bike-035,member
ride-078,2026-03-03T08:47:00Z,2026-03-03T08:57:00Z,station-11,station-14,bike-056,member
ride-079,2026-03-01T13:48:00Z,2026-03-01T13:55:00Z,station-5,station-3,bike-038,member
ride-080,2026-03-27T19:30:00Z,2026-03-27T19:58:00Z,station-14,station-3,bike-022,member
ride-081,2026-03-16T14:52:00Z,2026-03-16T15:05:00Z,station-6,station-2,bike-050,member
ride-082,2026-03-17T08:26:00Z,2026-03-17T08:47:00Z,station-8,station-11,bike-029,casual
ride-083,2026-03-07T13:59:00Z,2026-03-07T14:28:00Z,station-1,station-11,bike-039,casual
ride-084,2026-03-23T09:35:00Z,2026-03-23T10:42:00Z,station-2,station-8,bike-008,casual
ride-085,2026-03-05T19:32:00Z,2026-03-05T20:47:00Z,station-4,station-8,bike-036,member
ride-086,2026-03-07T20:55:00Z,2026-03-07T21:49:00Z,station-6,station-13,bike-033,member
ride-087,2026-03-01T13:53:00Z,2026-03-01T14:07:00Z,station-8,station-6,bike-022,member
ride-088,2026-03-18T19:59:00Z,2026-03-18T20:20:00Z,station-4,station-14,bike-050,member
ride-089,2026-03-11T20:24:00Z,2026-03-11T20:39:00Z,station-9,station-10,bike-022,casual
ride-090,2026-03-28T19:33:00Z,2026-03-28T19:45:00Z,station-11,station-3,bike-005,member
ride-091,2026-03-09T18:41:00Z,2026-03-09T19:38:00Z,station-7,station-6,bike-041,casual
ride-092,2026-03-25T19:39:00Z,2026-03-25T20:29:00Z,station-4,station-12,bike-006,member
ride-093,2026-03-04T09:10:00Z,2026-03-04T09:25:00Z,station-5,station-6,bike-024,member
ride-094,2026-03-08T21:36:00Z,2026-03-08T21:51:00Z,station-14,station-7,bike-040,casual
ride-095,2026-03-16T09:29:00Z,2026-03-16T09:52:00Z,station-13,station-8,bike-058,member
ride-096,2026-03-18T09:28:00Z,2026-03-18T09:38:00Z,station-5,station-8,bike-055,member
ride-097,2026-03-13T19:15:00Z,2026-03-13T20:24:00Z,station-5,station-1,bike-054,casual
ride-098,2026-03-09T07:58:00Z,2026-03-09T08:54:00Z,station-13,station-13,bike-015,member
ride-099,2026-03-12T12:39:00Z,2026-03-12T13:29:00Z,station-11,station-1,bike-020,casual
ride-100,2026-03-02T17:05:00Z,2026-03-02T17:14:00Z,station-3,station-13,bike-035,casual
ride-101,2026-03-12T20:53:00Z,2026-03-12T21:52:00Z,station-13,station-5,bike-048,casual
ride-102,2026-03-26T09:04:00Z,2026-03-26T09:26:00Z,station-7,station-14,bike-052,member
ride-103,2026-03-03T18:16:00Z,2026-03-03T18:34:00Z,station-11,station-5,bike-038,member
ride-104,2026-03-21T17:43:00Z,2026-03-21T18:13:00Z,station-9,station-6,bike-059,member
ride-105,2026-03-21T09:58:00Z,2026-03-21T10:07:00Z,station-1,station-5,bike-032,member
ride-106,2026-03-08T20:24:00Z,2026-03-08T20:50:00Z,station-9,station-7,bike-038,casual
ride-107,2026-03-05T18:53:00Z,2026-03-05T19:05:00Z,station-12,station-6,bike-014,member
ride-108,2026-03-08T17:43:00Z,2026-03-08T17:53:00Z,station-2,station-14,bike-053,member
ride-109,2026-03-22T12:03:00Z,2026-03-22T12:25:00Z,station-2,station-14,bike-049,member
ride-110,2026-03-19T12:21:00Z,2026-03-19T13:48:00Z,station-3,station-9,bike-017,casual
ride-111,2026-03-04T07:00:00Z,2026-03-04T07:10:00Z,station-5,station-1,bike-009,casual
ride-112,2026-03-17T08:30:00Z,2026-03-17T08:42:00Z,station-9,station-4,bike-040,member
ride-113,2026-03-26T20:29:00Z,2026-03-26T21:00:00Z,station-7,station-11,bike-007,member
ride-114,2026-03-15T08:20:00Z,2026-03-15T08:34:00Z,station-11,station-10,bike-036,casual
ride-115,2026-03-13T20:29:00Z,2026-03-13T20:57:00Z,station-14,station-11,bike-042,casual
ride-116,2026-03-18T13:28:00Z,2026-03-18T13:56:00Z,station-7,station-12,bike-007,member
ride-117,2026-03-11T13:09:00Z,2026-03-11T13:41:00Z,station-2,station-7,bike-007,casual
ride-118,2026-03-12T09:37:00Z,2026-03-12T09:50:00Z,station-14,station-11,bike-049,member
ride-119,2026-03-24T07:38:00Z,2026-03-24T08:04:00Z,station-3,station-11,bike-031,member
ride-120,2026-03-04T17:07:00Z,2026-03-04T18:02:00Z,station-13,station-14,bike-040,member
ride-121,2026-03-21T20:38:00Z,2026-03-21T20:53:00Z,station-13,station-5,bike-059,member
ride-122,2026-03-01T09:36:00Z,2026-03-01T10:03:00Z,station-1,station-2,bike-048,member
ride-123,2026-03-13T19:21:00Z,2026-03-13T19:28:00Z,station-10,station-10,bike-006,casual
ride-124,2026-03-05T09:43:00Z,2026-03-05T09:49:00Z,station-10,station-8,bike-027,member
ride-125,2026-03-25T20:22:00Z,2026-03-25T20:40:00Z,station-8,station-9,bike-043,member
ride-126,2026-03-08T18:00:00Z,2026-03-08T18:24:00Z,station-13,station-5,bike-019,member
ride-127,2026-03-01T20:11:00Z,2026-03-01T20:18:00Z,station-9,station-14,bike-043,casual
ride-128,2026-03-03T18:27:00Z,2026-03-03T19:26:00Z,station-10,station-7,bike-037,member
ride-129,2026-03-21T18:07:00Z,2026-03-21T18:18:00Z,station-10,station-8,bike-054,casual
ride-130,2026-03-12T09:54:00Z,2026-03-12T10:00:00Z,station-2,station-7,bike-056,member
ride-131,2026-03-11T12:49:00Z,2026-03-11T12:56:00Z,station-9,station-4,bike-058,casual
ride-132,2026-03-12T09:06:00Z,2026-03-12T09:29:00Z,station-13,station-13,bike-042,member
ride-133,2026-03-25T20:48:00Z,2026-03-25T21:39:00Z,station-11,station-11,bike-040,member
ride-134,2026-03-21T17:28:00Z,2026-03-21T17:34:00Z,station-5,station-10,bike-004,member
ride-135,2026-03-03T14:28:00Z,2026-03-03T14:33:00Z,station-11,station-14,bike-055,member
ride-136,2026-03-20T21:29:00Z,2026-03-20T22:13:00Z,station-11,station-4,bike-021,member
ride-137,2026-03-17T09:28:00Z,2026-03-17T09:53:00Z,station-3,station-1,bike-016,casual
ride-138,2026-03-15T20:23:00Z,2026-03-15T20:47:00Z,station-11,station-10,bike-004,casual
ride-139,2026-03-21T17:21:00Z,2026-03-21T17:48:00Z,station-11,station-10,bike-056,member
ride-140,2026-03-03T09:19:00Z,2026-03-03T09:46:00Z,station-2,station-5,bike-036,member
ride-141,2026-03-26T17:42:00Z,2026-03-26T17:57:00Z,station-6,station-1,bike-024,member
ride-142,2026-03-07T18:12:00Z,2026-03-07T18:20:00Z,station-13,station-2,bike-033,casual
ride-143,2026-03-27T20:42:00Z,2026-03-27T20:52:00Z,station-3,station-14,bike-045,casual
ride-144,2026-03-26T10:02:00Z,2026-03-26T10:13:00Z,station-8,station-10,bike-019,casual
ride-145,2026-03-26T19:34:00Z,2026-03-26T19:58:00Z,station-14,station-4,bike-024,casual
ride-146,2026-03-19T20:49:00Z,2026-03-19T20:58:00Z,station-3,station-14,bike-013,casual
ride-147,2026-03-05T13:41:00Z,2026-03-05T13:53:00Z,station-14,station-9,bike-055,member
ride-148,2026-03-03T09:28:00Z,2026-03-03T09:41:00Z,station-4,station-14,bike-029,casual
ride-149,2026-03-01T18:25:00Z,2026-03-01T19:37:00Z,station-6,station-4,bike-002,member
ride-150,2026-03-04T17:08:00Z,2026-03-04T17:32:00Z,station-14,station-3,bike-049,casual
ride-151,2026-03-15T07:01:00Z,2026-03-15T07:22:00Z,station-12,station-10,bike-034,member
ride-152,2026-03-25T13:19:00Z,2026-03-25T13:35:00Z,station-10,station-8,bike-005,member
ride-153,2026-03-16T20:40:00Z,2026-03-16T20:53:00Z,station-1,station-10,bike-023,member
ride-154,2026-03-14T09:33:00Z,2026-03-14T09:50:00Z,station-13,station-9,bike-036,member
ride-155,2026-03-28T19:40:00Z,2026-03-28T19:51:00Z,station-13,station-2,bike-023,member
ride-156,2026-03-22T08:08:00Z,2026-03-22T08:55:00Z,station-3,station-14,bike-050,casual
ride-157,2026-03-23T19:51:00Z,2026-03-23T20:43:00Z,station-1,station-5,bike-013,member
ride-158,2026-03-07T07:59:00Z,2026-03-07T08:26:00Z,station-1,station-13,bike-042,member
ride-159,2026-03-12T07:17:00Z,2026-03-12T07:23:00Z,station-8,station-7,bike-022,casual
ride-160,2026-03-16T19:59:00Z,2026-03-16T20:22:00Z,station-2,station-7,bike-039,casual
ride-161,2026-03-06T20:20:00Z,2026-03-06T20:26:00Z,station-8,station-10,bike-046,member
ride-162,2026-03-23T19:28:00Z,2026-03-23T19:33:00Z,station-13,station-1,bike-005,casual
ride-163,2026-03-13T17:01:00Z,2026-03-13T17:08:00Z,station-13,station-11,bike-024,member
ride-164,2026-03-19T07:43:00Z,2026-03-19T08:09:00Z,station-10,station-3,bike-034,member
ride-165,2026-03-11T13:07:00Z,2026-03-11T13:12:00Z,station-9,station-2,bike-017,casual
ride-166,2026-03-23T19:39:00Z,2026-03-23T19:48:00Z,station-2,station-8,bike-012,casual
ride-167,2026-03-15T08:42:00Z,2026-03-15T08:52:00Z,station-5,station-14,bike-011,casual
ride-168,2026-03-23T09:32:00Z,2026-03-23T09:40:00Z,station-13,station-8,bike-002,member
ride-169,2026-03-19T18:51:00Z,2026-03-19T19:04:00Z,station-5,station-7,bike-046,casual
ride-170,2026-03-17T19:52:00Z,2026-03-17T20:09:00Z,station-8,station-8,bike-044,member
ride-171,2026-03-05T20:49:00Z,2026-03-05T21:35:00Z,station-14,station-2,bike-034,member
ride-172,2026-03-06T09:59:00Z,2026-03-06T10:25:00Z,station-5,station-14,bike-006,member
ride-173,2026-03-21T20:08:00Z,2026-03-21T20:23:00Z,station-11,station-3,bike-038,casual
ride-174,2026-03-05T09:53:00Z,2026-03-05T10:07:00Z,station-1,station-11,bike-050,member
ride-175,2026-03-21T13:39:00Z,2026-03-21T13:54:00Z,station-5,station-11,bike-020,member
ride-176,2026-03-26T18:29:00Z,2026-03-26T18:35:00Z,station-8,station-4,bike-022,member
ride-177,2026-03-11T17:25:00Z,2026-03-11T17:32:00Z,station-4,station-8,bike-008,member
ride-178,2026-03-08T09:03:00Z,2026-03-08T09:12:00Z,station-14,station-3,bike-053,member
ride-179,2026-03-19T17:48:00Z,2026-03-19T18:18:00Z,station-5,station-8,bike-002,member
ride-180,2026-03-13T21:15:00Z,2026-03-13T21:23:00Z,station-10,station-14,bike-042,casual
ride-181,2026-03-10T20:54:00Z,2026-03-10T21:00:00Z,station-6,station-13,bike-026,member
ride-182,2026-03-13T07:23:00Z,2026-03-13T07:47:00Z,station-13,station-9,bike-018,casual
ride-183,2026-03-20T08:06:00Z,2026-03-20T08:32:00Z,station-6,station-13,bike-010,member
ride-184,2026-03-17T18:02:00Z,2026-03-17T18:54:00Z,station-9,station-8,bike-010,member
ride-185,2026-03-17T09:59:00Z,2026-03-17T11:11:00Z,station-12,station-14,bike-020,member
ride-186,2026-03-17T21:45:00Z,2026-03-17T21:59:00Z,station-6,station-11,bike-008,casual
ride-187,2026-03-19T13:38:00Z,2026-03-19T14:01:00Z,station-13,station-10,bike-037,member
ride-188,2026-03-02T19:33:00Z,2026-03-02T20:00:00Z,station-1,station-10,bike-045,member
ride-189,2026-03-01T19:26:00Z,2026-03-01T19:33:00Z,station-13,station-10,bike-059,member
ride-190,2026-03-28T07:33:00Z,2026-03-28T07:58:00Z,station-6,station-3,bike-030,casual
ride-191,2026-03-11T20:43:00Z,2026-03-11T20:58:00Z,station-4,station-5,bike-036,member
ride-192,2026-03-10T13:44:00Z,2026-03-10T14:09:00Z,station-13,station-12,bike-018,member
ride-193,2026-03-19T21:57:00Z,2026-03-19T22:57:00Z,station-5,station-1,bike-019,casual
ride-194,2026-03-03T18:41:00Z,2026-03-03T19:17:00Z,station-5,station-9,bike-045,member
ride-195,2026-03-04T12:03:00Z,2026-03-04T12:18:00Z,station-7,station-6,bike-046,member
ride-196,2026-03-22T09:35:00Z,2026-03-22T10:25:00Z,station-8,station-8,bike-042,member
ride-197,2026-03-10T17:41:00Z,2026-03-10T17:46:00Z,station-12,station-12,bike-055,casual
ride-198,2026-03-06T18:59:00Z,2026-03-06T19:04:00Z,station-12,station-14,bike-060,member
ride-199,2026-03-02T07:36:00Z,2026-03-02T07:50:00Z,station-11,station-9,bike-034,member
ride-200,2026-03-05T21:17:00Z,2026-03-05T21:35:00Z,station-11,station-5,bike-046,member
